' motor car';'motor car'
' motor cycle';'motor cycle'
' tyres and tubes';'tyres and tubes'
'air conditioner';'air conditioner'
'air fare [normal]: economy class [adult]';'airfare economy class'
'almirah';'almirah'
'any other personal goods';'Miscellaneous personal goods'
'apple';'apple'
'arhar';'arhar'
'baby food';'baby food'
'bajra and its products';'bajra and its products'
'banana (no.)';'banana (no.)'
'baniyan';'baniyan'
'barber';'barber'
'bathroom and sanitary equipment';'bathroom and sanitary equipment'
'beans';'beans'
'bed sheet';'bed sheet'
'bedding: others';'miscellaneous bedding'
'bedstead';'bedstead'
'beef/buffalo meat';'beef/buffalo meat'
'beer (litre)';'beer (litre)'
'berries';'berries'
'besan';'besan'
'bicycle [without  accessories]';'bicycle [without  accessories]'
'bidi (no.)';'bidi (no.)'
'biscuits';'biscuits'
'black pepper (gm)';'black pepper (gm)'
'books';'books'
'bread [bakery]';'bread [bakery]'
'brinjal';'brinjal'
'bucket';'bucket'
'bus/tram fare';'bus/tram fare'
'butter';'butter'
'cabbage';'cabbage'
'camera and photographic equipment';'camera and photographic equipment'
'candle (no.)';'candle (no.)'
'candy';'candy'
'carpet';'carpet'
'carrot';'carrot'
'cashewnut';'cashewnut'
'cauliflower';'cauliflower'
'CD';'compact disc'
'cereal substitutes: tapioca';'tapioca'
'chair';'chair'
'charcoal';'charcoal'
'cheroot (no.)';'cheroot (no.)'
'chicken';'chicken'
'chips (gm)';'chips (gm)'
'chira';'chira'
'cigarettes (no.)';'cigarettes (no.)'
'cinema: new release [normal day]';'cinema_new_release'
'clock';'clock'
'cloth for coat';'cloth_coat'
'cloth for shirt';'cloth_shirt'
'cloth for upholstery';'cloth_upholstery'
'clothing [first-hand]: other';'apparel firsthand'
'clothing: second-hand';'apparel secondhand'
'club fees';'club fees'
'coal';'coal'
'coat';'coat'
'coconut (no.)';'coconut (no.)'
'coconut oil';'coconut oil'
'coconut: copra';'copra'
'coffee: cups (no.)';'coffee cups'
'coffee: powder (gm)';'coffee powder'
'coir';'coir'
'coke';'coke'
'cold beverages: bottled/canned (litre)';'beverages cold bottled/canned (litre)'
'cooked meals purchased  (no.)';'cooked meals purchased  (no.)'
'cooked snacks purchased [samosa';'cooked snacks purchased'
'country liquor (litre)';'country liquor (litre)'
'curd';'curd'
'curry powder (gm)';'curry powder (gm)'
'dates';'dates'
'dhania (gm)';'dhania (gm)'
'dhoti (no.)';'dhoti (no.)'
'diesel (litre) [excl. conveyance]';'diesel non transportation'
'diesel for vehicle';'diesel transportation'
'doctors/surgeons fee-first consultation [non-institutional]';'doctors/surgeons fee first consultation non-institutional'
'domestic servant/cook';'domestic servant/cook'
'dry chillies (gm)';'dry chillies (gm)'
'dung cake';'dung cake'
'earthenware';'earthenware'
'eggs (no.)';'eggs (no.)'
'electric batteries';'electric batteries'
'electric bulb';'electric bulb'
'electric fan';'electric fan'
'electric iron';'electric iron'
'electricity (std. unit)';'electricity (std. unit)'
'family planning devices';'family planning devices'
'firewood and chips';'firewood and chips'
'fish';'fish'
'flower [fresh]: all purposes';'flower fresh'
'foreign/refined liquor or wine (litre)';'foreign/refined liquor or wine (litre)'
'frocks';'apparel frocks'
'fruit juice and shake (litre)';'fruit juice and shake (litre)'
'gamchha';'gamchha'
'garlic (gm)';'garlic (gm)'
'ghee';'ghee'
'ginger (gm)';'ginger (gm)'
'glassware';'glassware'
'goat meat/mutton';'goat meat/mutton'
'gold';'gold'
'goods for recreation and hobbies';'goods for recreation and hobbies'
'gourd';'gourd'
'gram products';'gram products'
'gram: split';'gram split'
'gram: whole';'gram whole'
'grapes';'grapes'
'green chillies';'green chillies'
'green coconut (no.)';'green coconut (no.)'
'grinding charges';'grinding charges'
'groundnut';'groundnut'
'groundnut oil';'groundnut oil'
'guava';'guava'
'gur';'gur'
'hair oil';'hair oil'
'headwear';'headwear'
'honey';'honey'
'hookah tobacco (gm)';'hookah tobacco (gm)'
'horse cart fare';'horse cart fare'
'hospital and nursing home charges';'hospital and nursing home charges'
'hotel lodging charges';'hotel lodging charges'
'house rent';'house rent'
'ice-cream';'ice-cream'
'incense [agarbatti]';'agarbatti'
'ingredients for pan (gm)';'ingredients for pan (gm)'
'internet expenses';'internet expenses'
'inverter';'inverter'
'jackfruit';'jackfruit'
'jeera (gm)';'jeera (gm)'
'jowar and its products';'jowar and its products'
'kerosene – other sources (litre)';'kerosene other sources (litre)'
'kerosene – PDS (litre)';'kerosene PDS (litre)'
'kharbooza';'kharbooza'
'khesari';'khesari'
'knitting wool (gm)';'knitting wool (gm)'
'kurta-pajama suits: females (no.)';'apparel kurta-pajama suits females (no.)'
'kurta-pajama suits: males (no.)';'apparel kurta-pajama suits males (no.)'
'ladys finger';'ladys finger'
'leaf tobacco (gm)';'leaf tobacco (gm)'
'leather boots';'leather boots'
'leather sandals';'leather sandals'
'lemon (no.)';'lemon (no.)'
'library charges';'library charges'
