period_end,dimension,category,value
2025-06-30,,,6.8
2025-05-31,,,5.8
2025-04-30,,,6.1
2025-03-31,,,7.7
2024-12-31,,,6.2
2024-11-30,,,5.4
2024-10-31,,,5.3
2024-09-30,,,5.4
2024-08-31,,,4.5
2024-07-31,,,5.1
2024-06-30,,,5.3
2024-05-31,,,5.6
2024-04-30,,,6.7
2024-03-31,,,4.5
2023-12-31,,,6.8
2023-11-30,,,6.6
2023-10-31,,,4.6
2023-09-30,,,4.5
2023-08-31,,,4.5
2023-07-31,,,3.7
2023-06-30,,,4.4
2023-05-31,,,3.5
2023-04-30,,,5.6
2023-03-31,,,3.9
2022-12-31,,,1.3
2022-11-30,,,2.2
2022-10-31,,,5.0
2022-09-30,,,6.3
2022-08-31,,,4.2
2022-07-31,,,3.8
2022-06-30,,,3.9
2022-05-31,,,0.7
2022-04-30,,,-2.9
2022-03-31,,,5.0
2021-12-31,,,4.3
2021-11-30,,,3.8
2021-10-31,,,3.5
2021-09-30,,,3.1
2021-08-31,,,5.3
2021-07-31,,,6.4
2021-06-30,,,8.3
2021-05-31,,,8.8
2021-04-30,,,9.8
2021-03-31,,,14.1
2020-12-31,,,7.3
2020-11-30,,,7.0
2020-10-31,,,6.9
2020-09-30,,,6.9
2020-08-31,,,5.6
2020-07-31,,,4.8
2020-06-30,,,4.8
2020-05-31,,,4.4
2020-04-30,,,3.9
2020-03-31,,,-1.1
2019-12-31,,,6.9
2019-11-30,,,6.2
2019-10-31,,,4.7
2019-09-30,,,5.8
2019-08-31,,,4.4
2019-07-31,,,4.8
2019-06-30,,,6.3
2019-05-31,,,5.0
2019-04-30,,,5.4
2019-03-31,,,8.5
2018-12-31,,,5.7
2018-11-30,,,5.4
2018-10-31,,,5.9
2018-09-30,,,5.8
2018-08-31,,,6.1
2018-07-31,,,6.0
2018-06-30,,,6.0
2018-05-31,,,6.8
2018-04-30,,,7.0
2018-03-31,,,6.0
2017-12-31,,,6.2
2017-11-30,,,6.1
2017-10-31,,,6.2
2017-09-30,,,6.6
2017-08-31,,,6.0
2017-07-31,,,6.4
2017-06-30,,,7.6
2017-05-31,,,6.5
2017-04-30,,,6.5
2017-03-31,,,7.6
2016-12-31,,,6.0
2016-11-30,,,6.2
2016-10-31,,,6.1
2016-09-30,,,6.1
2016-08-31,,,6.3
2016-07-31,,,6.0
2016-06-30,,,6.2
2016-05-31,,,6.0
2016-04-30,,,6.0
2016-03-31,,,6.8
2015-12-31,,,5.9
2015-11-30,,,6.2
2015-10-31,,,5.6
2015-09-30,,,5.7
2015-08-31,,,6.1
2015-07-31,,,6.0
2015-06-30,,,6.8
2015-05-31,,,6.1
2015-04-30,,,5.9
2015-03-31,,,5.6
