dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,source,updated_on,all_topics,dimensions,categories
IIP,IIP,YoY,IN,5.2,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.456774,[YoY][IN][IIP],,
IIP,IIP,YoY,IN,4.7,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.456821,[YoY][IN][Mining][IIP],[Mining],"{""Mining"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,-8.0,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.456902,[IN][IIP][Manufacturing][YoY][Manufacture Of Food Products],[Manufacture Of Food Products][Manufacturing],"{""Manufacture Of Food Products"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,5.2,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.456971,[IN][IIP][Manufacturing][Manufacture Of Beverages][YoY],[Manufacture Of Beverages][Manufacturing],"{""Manufacture Of Beverages"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,19.6,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457045,[IN][IIP][Manufacturing][YoY][Manufacture Of Tobacco Products],[Manufacture Of Tobacco Products][Manufacturing],"{""Manufacture Of Tobacco Products"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,-4.7,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457106,[Manufacture Of Textiles][IN][IIP][Manufacturing][YoY],[Manufacture Of Textiles][Manufacturing],"{""Manufacture Of Textiles"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,40.2,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457164,[IN][IIP][Manufacturing][YoY][Manufacture Of Wearing Apparel],[Manufacture Of Wearing Apparel][Manufacturing],"{""Manufacture Of Wearing Apparel"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,-1.4,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457220,[Manufacture Of Leather And Related Products][IN][IIP][Manufacturing][YoY],[Manufacture Of Leather And Related Products][Manufacturing],"{""Manufacture Of Leather And Related Products"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,5.4,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457279,[IN][IIP][Manufacturing][YoY][Manufacture Of Wood And Products Of Wood And Cork Except Furniture Manufacture Of Articles Of Straw And Plaiting Materials],[Manufacture Of Wood And Products Of Wood And Cork Except Furniture Manufacture Of Articles Of Straw And Plaiting Materials][Manufacturing],"{""Manufacture Of Wood And Products Of Wood And Cork Except Furniture Manufacture Of Articles Of Straw And Plaiting Materials"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,4.6,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457351,[IN][IIP][Manufacturing][YoY][Manufacture Of Paper And Paper Products],[Manufacture Of Paper And Paper Products][Manufacturing],"{""Manufacture Of Paper And Paper Products"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
IIP,IIP,YoY,IN,-1.1,,2016-03-31,M,PERCENT,MacroSearchEngine,False,https://www.esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=iip,2025-08-03 21:35:30.457409,[Printing And Reproduction Of Recorded Media][IN][IIP][Manufacturing][YoY],[Printing And Reproduction Of Recorded Media][Manufacturing],"{""Printing And Reproduction Of Recorded Media"": ""SubcategoryOfManufacturing"", ""Manufacturing"": ""SectoralClassification""}"
