dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,2.82,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CPI],,
CPI,CPI,YoY,IN,2.1,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CPI],,
CPI,CPI,YoY,IN,1.55,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CPI],,
CPI,CFPI,YoY,IN,0.99,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CFPI][CPI],,
CPI,CFPI,YoY,IN,-1.01,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CFPI][CPI],,
CPI,CFPI,YoY,IN,-1.76,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][CFPI][CPI],,
CPI,CPI,YoY,IN,1.5,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Food][IN][CPI],[Food],"{""Food"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,-0.15,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Food][IN][CPI],[Food],"{""Food"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,-0.84,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][Food][IN][CPI],[Food],"{""Food"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.0201702001155155,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Grains][CPI],[Grains],"{""Grains"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,0.40420114326079215,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Grains][CPI],[Grains],"{""Grains"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,-0.5946110027806242,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Grains][CPI],[Grains],"{""Grains"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,-1.746563825618992,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Meat][CPI],[Meat],"{""Meat"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,227.30326509248886,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Meat][CPI],[Meat],"{""Meat"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,220.80118742889374,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][IN][Meat][CPI],[Meat],"{""Meat"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.489999999999995,,2025-05-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][Seafood][IN][CPI],[Seafood],"{""Seafood"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,219.29999999999995,,2025-06-30,M,PERCENT,MacroSearchEngine,True,False,,[YoY][Seafood][IN][CPI],[Seafood],"{""Seafood"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,223.30000000000007,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[YoY][Seafood][IN][CPI],[Seafood],"{""Seafood"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,0.64,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Eggs][CPI],[Eggs],"{""Eggs"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.57,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Eggs][CPI],[Eggs],"{""Eggs"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.26,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Eggs][CPI],[Eggs],"{""Eggs"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,3.15,,2025-05-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Dairy][CPI],[Dairy],"{""Dairy"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.8,,2025-06-30,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Dairy][CPI],[Dairy],"{""Dairy"": ""ConsumptionCategory""}"
