dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories,updated_on
CPI,CPI,YoY,IN,1.55,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[CPI][YoY][IN],,,
CPI,CFPI,YoY,IN,-1.76,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[CPI][CFPI][YoY][IN],,,
CPI,CPI,YoY,IN,-0.84,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[CPI][Food][YoY][IN],[Food],"{""Food"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,-0.5946110027806384,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[IN][CPI][YoY][Grains],[Grains],"{""Grains"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,-2.9125500018281087,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[IN][CPI][YoY][Meat],[Meat],"{""Meat"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,4.25,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[CPI][Seafood][YoY][IN],[Seafood],"{""Seafood"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,2.26,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[IN][CPI][YoY][Eggs],[Eggs],"{""Eggs"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,2.74,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[Dairy][CPI][YoY][IN],[Dairy],"{""Dairy"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,19.24,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[Edible_Oils][CPI][YoY][IN],[Edible_Oils],"{""Edible_Oils"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,14.42,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[IN][CPI][YoY][Fruits],[Fruits],"{""Fruits"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,-20.69,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[CPI][Vegetables][YoY][IN],[Vegetables],"{""Vegetables"": ""ConsumptionCategory""}",
CPI,CPI,YoY,IN,1.3735135266251177,,2025-07-31,M,PERCENT,MacroSearchEngine,True,False,,[CPI][Tobacco][YoY][IN],[Tobacco],"{""Tobacco"": ""ConsumptionCategory""}",
