period_end,updated_on,label,codetype,code,CPI,CPI_YoY,weight,lower_label,region
2025-07-31,2025-08-12,"Air Conditioner, Air Cooler",item_code,6.1.01.3.1.01.X,152.0,1.13,0.05368,"air conditioner, air cooler",
2025-07-31,2025-08-12,Air Fare (normal): Economy Class(adult),item_code,6.1.03.3.2.07.0,202.3,3.16,0.07722,air fare (normal): economy class(adult),
2025-07-31,2025-08-12,"Almirah, Dressing Table",item_code,6.1.01.1.1.02.0,180.1,1.64,0.03343,"almirah, dressing table",
2025-07-31,2025-08-12,Any Other Personal Goods,item_code,6.1.06.1.1.14.X,242.5,1.25,3e-05,any other personal goods,
2025-07-31,2025-08-12,Apple,item_code,1.1.06.1.1.16.0,209.2,19.41,0.47018,apple,
2025-07-31,2025-08-12,"Arhar, Tur",item_code,1.1.08.1.1.01.0,186.4,-28.03,0.79607,"arhar, tur",
2025-07-31,2025-08-12,Baby Food,item_code,1.1.04.2.1.01.0,215.0,3.56,0.02533,baby food,
2025-07-31,2025-08-12,Bajra & its Products,item_code,1.1.01.2.1.02.X,239.2,5.1,0.11249,bajra & its products,
2025-07-31,2025-08-12,Banana (no.),item_code,1.1.06.1.1.01.0,194.8,8.46,0.5598,banana (no.),
2025-07-31,2025-08-12,"Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)",item_code,3.1.01.1.1.08.X,188.0,1.51,0.49077,"baniyan, socks, other hosiery and undergarments, etc.(no.)",
2025-07-31,2025-08-12,"Barber, Beautician, etc.",item_code,6.1.06.3.2.01.X,235.7,5.04,0.5517,"barber, beautician, etc.",
2025-07-31,2025-08-12,Bathroom and Sanitary Equipment,item_code,6.1.01.1.1.07.0,195.6,2.84,0.00221,bathroom and sanitary equipment,
2025-07-31,2025-08-12,"Beans, Barbati",item_code,1.1.07.3.1.10.X,241.0,-5.68,0.14247,"beans, barbati",
2025-07-31,2025-08-12,Bedding: Others,item_code,6.1.01.2.1.06.X,167.2,1.33,0.00055,bedding: others,
2025-07-31,2025-08-12,"Bed Sheet, Bed Cover (no.)",item_code,6.1.01.2.1.01.0,186.6,2.53,0.18315,"bed sheet, bed cover (no.)",
2025-07-31,2025-08-12,Bedstead,item_code,6.1.01.1.1.01.0,233.5,3.64,0.05715,bedstead,
2025-07-31,2025-08-12,Beef/ Buffalo Meat,item_code,1.1.02.1.1.02.X,243.5,4.87,0.26752,beef/ buffalo meat,
2025-07-31,2025-08-12,Beer (litre),item_code,2.1.01.1.1.04.0,216.2,6.35,0.05932,beer (litre),
2025-07-31,2025-08-12,Besan,item_code,1.1.08.2.1.02.0,182.6,1.67,0.15725,besan,
2025-07-31,2025-08-12,Bicycle(without Accessories),item_code,6.1.03.1.1.03.0,166.6,1.34,0.13011,bicycle(without accessories),
2025-07-31,2025-08-12,Bidi (no.),item_code,2.1.01.3.1.01.0,218.6,2.92,0.42638,bidi (no.),
2025-07-31,2025-08-12,"Biscuits, Chocolates, etc.",item_code,1.1.01.1.1.13.X,165.7,4.54,0.88308,"biscuits, chocolates, etc.",
2025-07-31,2025-08-12,Black Pepper (gm),item_code,1.1.10.1.1.05.0,221.8,9.05,0.13988,black pepper (gm),
2025-07-31,2025-08-12,"Books, Journals: First Hand",item_code,6.1.05.1.1.02.X,175.3,1.68,0.55902,"books, journals: first hand",
2025-07-31,2025-08-12,Bread (bakery),item_code,1.1.01.1.1.12.0,226.9,5.58,0.10816,bread (bakery),
2025-07-31,2025-08-12,Brinjal,item_code,1.1.07.3.1.02.0,248.6,1.68,0.36816,brinjal,
2025-07-31,2025-08-12,"Bucket, Water Bottle/ Feeding Bottle & Other Plastic Goods",item_code,6.1.01.6.1.01.X,187.9,2.4,0.06602,"bucket, water bottle/ feeding bottle & other plastic goods",
2025-07-31,2025-08-12,Bus/tram Fare,item_code,6.1.03.3.2.02.0,203.6,3.19,1.36717,bus/tram fare,
2025-07-31,2025-08-12,Butter,item_code,1.1.05.2.1.02.0,205.8,5.7,0.01041,butter,
2025-07-31,2025-08-12,Cabbage,item_code,1.1.07.3.1.04.0,210.4,-16.57,0.18139,cabbage,
2025-07-31,2025-08-12,Candle (no.),item_code,6.1.01.6.1.09.0,168.1,1.94,0.03267,candle (no.),
2025-07-31,2025-08-12,"Candy, Misri",item_code,1.1.09.2.1.01.0,172.8,1.41,0.00117,"candy, misri",
2025-07-31,2025-08-12,"Carpet, Daree & Other Floor Mattings",item_code,6.1.01.1.1.09.X,319.7,16.76,0.00152,"carpet, daree & other floor mattings",
2025-07-31,2025-08-12,Carrot,item_code,1.1.07.1.1.04.0,227.4,-7.41,0.09395,carrot,
2025-07-31,2025-08-12,Cashewnut,item_code,1.1.06.2.1.04.0,176.9,13.62,0.07743,cashewnut,
2025-07-31,2025-08-12,Cauliflower,item_code,1.1.07.3.1.03.0,291.1,3.85,0.24628,cauliflower,
2025-07-31,2025-08-12,"CD, DVD, Audio/video Cassette, etc",item_code,6.1.04.1.1.07.0,136.7,-4.2,0.00469,"cd, dvd, audio/video cassette, etc",
2025-07-31,2025-08-12,"Cereal Substitutes: Tapioca, etc.",item_code,1.1.01.1.1.16.0,179.1,-8.76,0.04756,"cereal substitutes: tapioca, etc.",
2025-07-31,2025-08-12,"Chair, Stool, Bench, Table",item_code,6.1.01.1.1.03.X,191.4,2.13,0.01531,"chair, stool, bench, table",
2025-07-31,2025-08-12,Charcoal,item_code,5.1.01.4.1.04.0,188.9,2.38,0.00229,charcoal,
2025-07-31,2025-08-12,Cheroot (no.),item_code,2.1.01.3.1.06.0,255.2,9.06,0.00424,cheroot (no.),
2025-07-31,2025-08-12,Chicken,item_code,1.1.02.1.1.04.0,213.9,-9.52,1.22723,chicken,
