period_end|dimension|CPI_YoY
2025-06-30|Food_And_Beverages_Ex_Alcoholic_Beverages|-0.2
2025-05-31|Food_And_Beverages_Ex_Alcoholic_Beverages|1.5
2025-04-30|Food_And_Beverages_Ex_Alcoholic_Beverages|2.14
2025-04-30|Food_And_Beverages_Ex_Alcoholic_Beverages|2.14
2025-03-31|Food_And_Beverages_Ex_Alcoholic_Beverages|2.88
2025-02-28|Food_And_Beverages_Ex_Alcoholic_Beverages|3.84
2025-01-31|Food_And_Beverages_Ex_Alcoholic_Beverages|5.68
2025-01-31|Food_And_Beverages|5.63
2025-02-28|Food_And_Beverages|3.83
2025-03-31|Food_And_Beverages|2.89
2025-04-30|Food_And_Beverages|2.15
2025-05-31|Food_And_Beverages|1.54
2025-06-30|Food_And_Beverages|-0.12
2025-01-31|Grains|5.46
2025-03-31|Grains|4.13
2025-04-30|Grains|4.11
2025-05-31|Grains|2.02
2025-06-30|Grains|0.4
2025-06-30|Cereals|3.73
2025-05-31|Cereals|4.77
2025-04-30|Cereals|5.35
2025-04-30|Cereals|5.35
2025-03-31|Cereals|5.93
2025-01-31|Cereals|6.24
2025-06-30|Pulses|-11.76
2025-05-31|Pulses|-8.22
2025-04-30|Pulses|-5.23
2025-03-31|Pulses|-2.73
2025-02-28|Pulses|-0.35
2025-01-31|Pulses|2.55
2025-06-30|Meat_and_Fish|-1.62
2025-05-31|Meat_and_Fish|-0.43
2025-04-30|Meat_and_Fish|-0.35
2025-04-30|Meat_and_Fish|-0.35
2025-03-31|Meat_and_Fish|0.32
2025-02-28|Meat_and_Fish|2.11
2025-01-31|Meat_and_Fish|5.25
2025-01-31|Meat|5.26
2025-02-28|Meat|2.1
2025-03-31|Meat|0.35
2025-04-30|Meat|-0.3
2025-05-31|Meat|-0.38
2025-06-30|Meat|-1.61
2025-01-31|Seafood|1.27
2025-02-28|Seafood|-2.96
2025-03-31|Seafood|-3.1
2025-04-30|Seafood|0.83
2025-05-31|Seafood|0.64
2025-06-30|Seafood|2.57
2025-06-30|Eggs|2.57
2025-05-31|Eggs|0.64
2025-04-30|Eggs|0.83
2025-03-31|Eggs|-3.1
2025-02-28|Eggs|-2.96
2025-01-31|Eggs|1.27
2025-06-30|Dairy|2.8
2025-05-31|Dairy|3.15
2025-03-31|Dairy|2.62
2025-02-28|Dairy|2.68
2025-01-31|Dairy|2.85
2025-06-30|Edible_Oils|17.75
2025-05-31|Edible_Oils|17.91
2025-03-31|Edible_Oils|17.07
2025-01-31|Edible_Oils|15.64
2025-06-30|Fruits|12.59
2025-05-31|Fruits|12.74
2025-03-31|Fruits|16.27
2025-02-28|Fruits|14.82
2025-01-31|Fruits|12.16
2025-06-30|Vegetables|-19.0
2025-05-31|Vegetables|-13.7
2025-04-30|Vegetables|-10.98
2025-03-31|Vegetables|-7.04
2025-02-28|Vegetables|-1.13
2025-01-31|Vegetables|11.35
2025-06-30|Sugar_Products|3.52
2025-05-31|Sugar_Products|4.16
2025-04-30|Sugar_Products|4.59
2025-03-31|Sugar_Products|3.89
2025-02-28|Sugar_Products|2.16
2025-01-31|Sugar_Products|0.31
2025-06-30|Spices|-3.03
2025-05-31|Spices|-2.77
2025-04-30|Spices|-3.44
2025-03-31|Spices|-4.92
2025-02-28|Spices|-5.85
2025-02-28|Spices|-5.85
2025-01-31|Spices|-6.85
2025-06-30|Packaged_Foods|4.32
2025-05-31|Packaged_Foods|4.38
2025-04-30|Packaged_Foods|4.45
2025-03-31|Packaged_Foods|4.3
2025-02-28|Packaged_Foods|4.21
2025-01-31|Packaged_Foods|4.07
2025-06-30|Non_Alcoholic_Beverages|4.32
2025-05-31|Non_Alcoholic_Beverages|4.56
2025-04-30|Non_Alcoholic_Beverages|4.4
