|CPI||||CPI Contribution|
Code|2024|2025|YoY – Raw|basket_weight (%)|2024|2025
1.1.01.1.1.01.P|64|81.3|27.03|0.81|0.52|0.66
1.1.01.1.1.02.X|193|197.9|2.54|9.55|18.42|18.89
1.1.01.1.1.03.0|181.5|191.6|5.56|0.21|0.38|0.40
1.1.01.1.1.05.0|180.6|187.5|3.82|0.24|0.44|0.45
1.1.01.1.1.06.0|190.2|198.9|4.57|0.04|0.07|0.08
1.1.01.1.1.07.P|92.6|101.8|9.94|0.38|0.35|0.39
1.1.01.1.1.08.X|196.8|207.5|5.44|5.58|10.99|11.58
1.1.01.1.1.09.0|191|206.5|8.12|0.07|0.13|0.14
1.1.01.1.1.10.0|186|198.6|6.77|0.21|0.39|0.41
1.1.01.1.1.11.X|173.5|181.9|4.84|0.07|0.13|0.13
1.1.01.1.1.12.0|214.5|226.1|5.41|0.24|0.51|0.53
1.1.01.1.1.13.X|158.3|165.1|4.3|1.93|3.05|3.18
1.1.01.1.1.15.0|190.3|185.5|-2.52|0.00|0.00|0.00
1.1.01.1.1.16.0|197|183.5|-6.85|0.10|0.20|0.19
1.1.01.2.1.01.X|221.7|214.8|-3.11|0.49|1.09|1.06
1.1.01.2.1.02.X|227|238.8|5.2|0.25|0.56|0.59
1.1.01.2.1.03.X|205.4|220.2|7.21|0.12|0.26|0.27
1.1.01.2.1.05.X|185.2|207.9|12.26|0.00|0.00|0.00
1.1.01.2.1.06.X|244.5|260.9|6.71|0.10|0.24|0.26
1.1.01.3.2.01.0|179.2|185.3|3.4|0.71|1.27|1.31
1.1.02.1.1.01.0|247.1|256.5|3.8|1.73|4.28|4.44
1.1.02.1.1.02.X|229.5|242.8|5.8|0.58|1.34|1.42
1.1.02.1.1.03.0|240.2|253.6|5.58|0.11|0.27|0.29
1.1.02.1.1.04.0|246.9|222.3|-9.96|2.68|6.61|5.95
1.1.02.1.1.05.0|281.7|304.2|7.99|0.01|0.03|0.04
1.1.02.2.1.01.X|215.6|219.3|1.72|2.76|5.96|6.06
1.1.03.1.1.01.0|190.3|195.2|2.57|0.94|1.79|1.83
1.1.04.1.1.01.X|185.3|190.5|2.81|14.00|25.93|26.66
1.1.04.2.1.01.0|206|214.6|4.17|0.06|0.11|0.12
1.1.04.2.1.02.X|180.1|183.2|1.72|0.09|0.16|0.16
1.1.04.2.1.03.0|188.5|193|2.39|0.21|0.39|0.40
1.1.04.2.1.04.0|178.2|184.8|3.7|0.06|0.11|0.11
1.1.05.1.1.01.0|152.1|179.9|18.28|2.89|4.40|5.20
1.1.05.1.1.02.0|174.8|170.8|-2.29|0.73|1.27|1.24
1.1.05.1.1.03.0|215.9|425.8|97.22|0.17|0.37|0.73
1.1.05.1.1.04.0|146.5|181|23.55|2.75|4.03|4.98
1.1.05.2.1.01.0|195.1|201.6|3.33|1.03|2.02|2.09
1.1.05.2.1.02.0|194.6|204|4.83|0.02|0.04|0.05
1.1.05.2.1.03.0|173.5|210.5|21.33|0.16|0.27|0.33
1.1.06.1.1.01.0|177|193.5|9.32|1.22|2.16|2.36
1.1.06.1.1.02.0|192.7|273.3|41.83|0.01|0.02|0.02
1.1.06.1.1.03.0|142.1|131.5|-7.46|0.10|0.15|0.13
1.1.06.1.1.04.0|202.7|222|9.52|0.01|0.02|0.02
1.1.06.1.1.05.0|227.8|342.4|50.31|0.57|1.30|1.96
1.1.06.1.1.06.0|298.8|340.4|13.92|0.10|0.30|0.34
1.1.06.1.1.07.0|252|275|9.13|0.18|0.45|0.49
1.1.06.1.1.08.0| | ||0.00|0.00|0.00
1.1.06.1.1.09.X|189.5|196|3.43|0.27|0.52|0.53
1.1.06.1.1.10.0|204.6|207.1|1.22|0.10|0.21|0.21
1.1.06.1.1.11.0|177.7|149.1|-16.09|0.70|1.24|1.04
1.1.06.1.1.12.0|151.5|158.7|4.75|0.03|0.04|0.04
1.1.06.1.1.13.X| | ||0.00|0.00|0.00
1.1.06.1.1.14.0| | ||0.00|0.00|0.00
1.1.06.1.1.15.0|228.3|298.1|30.57|0.02|0.04|0.06
1.1.06.1.1.16.0|170.8|207.1|21.25|1.03|1.75|2.12
1.1.06.1.1.17.0|159.9|179.1|12.01|0.33|0.53|0.60
1.1.06.1.1.18.0|192.9|211.9|9.85|0.26|0.50|0.55
1.1.06.2.1.01.0|185.8|262|41.01|0.22|0.41|0.58
1.1.06.2.1.02.0|175.9|168.5|-4.21|0.63|1.10|1.06
1.1.06.2.1.03.0|229.7|238.7|3.92|0.09|0.21|0.22
1.1.06.2.1.04.0|151.6|175.8|15.96|0.17|0.26|0.30
1.1.06.2.1.05.0|221.8|236.2|6.49|0.01|0.01|0.01
1.1.06.2.1.06.0|179.8|196.5|9.29|0.03|0.06|0.06
1.1.06.2.1.07.X|154.1|163.5|6.1|0.12|0.19|0.20
1.1.06.2.1.08.0|206.3|227.8|10.42|0.10|0.21|0.23
1.1.07.1.1.01.0|238.9|178.3|-25.37|2.15|5.13|3.83
1.1.07.1.1.02.0|263|193|-26.62|1.40|3.69|2.71
1.1.07.1.1.03.0|270.2|260.7|-3.52|0.16|0.42|0.41
1.1.07.1.1.04.0|216.1|207.1|-4.16|0.20|0.44|0.42
1.1.07.1.1.05.0|336.6|216.4|-35.71|0.68|2.28|1.46
1.1.07.1.1.06.0|321|163.9|-48.94|0.42|1.34|0.69
1.1.07.2.1.01.X|224.3|225.2|0.4|0.96|2.14|2.15
1.1.07.3.1.01.0|244.3|167.3|-31.52|1.25|3.06|2.10
1.1.07.3.1.02.0|218.4|208.7|-4.44|0.80|1.75|1.68
1.1.07.3.1.03.0|225.2|227.8|1.15|0.54|1.21|1.22
1.1.07.3.1.04.0|213.8|178.4|-16.56|0.40|0.85|0.71
1.1.07.3.1.05.0|220|170.4|-22.55|0.61|1.34|1.04
1.1.07.3.1.06.0|170.4|151.2|-11.27|0.62|1.05|0.93
1.1.07.3.1.07.X|163.4|129.7|-20.62|0.21|0.34|0.27
1.1.07.3.1.08.X|186.2|166.2|-10.74|0.51|0.96|0.86
1.1.07.3.1.09.0|210.1|234|11.38|0.23|0.47|0.53
1.1.07.3.1.10.X|259.9|225.4|-13.27|0.31|0.81|0.70
1.1.07.3.1.11.0|202.1|185.2|-8.36|0.28|0.56|0.51
1.1.07.3.1.12.X|207.5|195.7|-5.69|1.23|2.56|2.41
1.1.07.4.1.01.0|192.8|197.8|2.59|0.21|0.40|0.41
1.1.07.4.1.02.0|132.4|149.6|12.99|0.02|0.02|0.02
1.1.08.1.1.01.0|254.1|190.3|-25.11|1.74|4.41|3.30
1.1.08.1.1.02.0|174.3|174.9|0.34|0.43|0.76|0.76
1.1.08.1.1.03.0|183.3|184.4|0.6|0.21|0.38|0.38
1.1.08.1.1.04.0|186.2|176.8|-5.05|0.75|1.40|1.33
1.1.08.1.1.05.0|176.1|171.1|-2.84|0.66|1.16|1.13
1.1.08.1.1.06.0|214.7|201.5|-6.15|0.60|1.28|1.20
1.1.08.1.1.07.0|208|189.6|-8.85|0.15|0.31|0.28
1.1.08.1.1.08.0|201.3|210.8|4.72|0.03|0.05|0.05
1.1.08.1.1.09.X|213.9|208.6|-2.48|0.18|0.39|0.38
1.1.08.2.1.01.0|192.1|198.7|3.44|0.05|0.10|0.10
1.1.08.2.1.02.0|175.7|182.9|4.1|0.34|0.60|0.63
1.1.08.2.1.03.0|199|199.2|0.1|0.07|0.13|0.13
1.1.09.1.1.01.P|165.6|166.9|0.79|0.19|0.32|0.32
1.1.09.1.1.02.0|125.4|130|3.67|2.47|3.10|3.21
1.1.09.1.1.03.0|163.3|168.5|3.18|0.22|0.37|0.38
1.1.09.2.1.01.0|169.9|173|1.82|0.00|0.00|0.00
1.1.09.2.1.02.0|162.1|172.2|6.23|0.01|0.01|0.01
1.1.09.2.1.03.X|166.3|173.6|4.39|0.05|0.08|0.09
1.1.09.3.1.01.0|154.8|158.6|2.45|0.03|0.04|0.04
1.1.10.1.1.01.0|198.1|207.5|4.75|0.35|0.69|0.72
1.1.10.1.1.02.0|264.3|221.5|-16.19|0.81|2.14|1.80
1.1.10.1.1.03.0|207|205.8|-0.58|0.73|1.51|1.50
1.1.10.1.1.04.0|198.2|215.3|8.63|1.08|2.15|2.33
1.1.10.1.1.05.0|199.8|220.3|10.26|0.30|0.61|0.67
1.1.10.1.1.06.0|272.3|240.4|-11.72|1.25|3.41|3.01
1.1.10.1.1.07.0|200.2|221.9|10.84|0.32|0.65|0.72
1.1.10.1.1.08.0|211.6|216.9|2.5|0.39|0.83|0.85
1.1.10.1.1.09.0|206|208.7|1.31|0.20|0.41|0.41
1.1.12.1.1.01.0|177.9|182.5|2.59|1.86|3.32|3.40
1.1.12.1.1.02.0|193|206.4|6.94|0.04|0.08|0.09
1.1.12.2.1.01.0|214.5|225.4|5.08|5.29|11.34|11.92
1.1.12.3.1.01.X|196.8|204.9|4.12|2.53|4.98|5.18
1.1.12.3.1.03.X|198.3|205.8|3.78|1.21|2.40|2.49
1.1.12.3.1.04.0|199.5|207.1|3.81|1.00|1.99|2.06
1.1.12.3.1.05.0|166.7|171.7|3|0.17|0.28|0.29
1.2.11.1.1.01.0|182.2|188.7|3.57|2.09|3.81|3.94
