dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,categories,updated_on,source,all_topics,dimensions
BankCreditAndDeposits,BankDeposits,Value,IN,233257360000000.0,,2025-07-11,,INR,MacroSearchEngine,True,{},2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[IN][BankCreditAndDeposits][Value][BankDeposits],
BankCreditAndDeposits,BankDeposits,YoY,IN,0.10145665820991856,,2025-07-11,,Percentage,MacroSearchEngine,True,{},2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[YoY][IN][BankCreditAndDeposits][BankDeposits],
BankCreditAndDeposits,BankDeposits,Value,IN,28021310000000.0,,2025-07-11,,INR,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[Value][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.17228180973107388,,2025-07-11,,Percentage,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[YoY][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
BankCreditAndDeposits,BankDeposits,Value,IN,205236050000000.0,,2025-07-11,,INR,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[Value][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.0924452476067037,,2025-07-11,,Percentage,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[YoY][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankCredit,Value,IN,184631630000000.0,,2025-07-11,,INR,MacroSearchEngine,True,{},2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[BankCredit][BankCreditAndDeposits][Value][IN],
BankCreditAndDeposits,BankCredit,YoY,IN,0.09820565142357429,,2025-07-11,,Percentage,MacroSearchEngine,True,{},2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[IN][BankCredit][BankCreditAndDeposits][YoY],
BankCreditAndDeposits,BankCredit,Value,IN,589930000000.0,,2025-07-11,,INR,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[FoodCredit][Value][IN][BankCredit][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.949344083534349,,2025-07-11,,Percentage,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2025-08-01,https://rbi.org.in/Scripts/WSSView.aspx?Id=27831,[FoodCredit][BankCredit][YoY][IN][BankCreditAndDeposits],[FoodCredit]
